name	family	score	student_quality	baseline_quality	max_share_skew	share_balance_ratio	worst_group	worst_group_severity	note
case_088	two_group_stagger_no_block	2.086290	0.319463	0.153125	3.130252	4.433501	high_stagger	2.654724	ratio=6, low_count=10, high_count=2
case_056	two_group_stagger_no_block	2.148845	0.558796	0.260045	1.789563	2.810815	high_stagger	1.882442	ratio=4, low_count=12, high_count=2
case_066	sleepy_reactivation	2.157406	0.783902	0.363354	1.275670	1.326044	sleeper	1.217411	steady_w=2, sleeper_w=5
case_096	two_group_stagger_no_block	2.177326	0.339147	0.155763	2.948571	3.772453	high_stagger	2.996470	ratio=4, low_count=8, high_count=2
case_072	two_group_stagger_no_block	2.206128	0.505571	0.229167	1.977961	2.536435	high_stagger	2.098037	ratio=5, low_count=8, high_count=2
case_062	phase_churn	2.229024	0.391629	0.175695	2.553434	2.591063	join_d	1.667455	t1=920, t2=1560
case_080	two_group_stagger_no_block	2.229197	0.383781	0.172161	2.605651	3.995907	high_stagger	2.642175	ratio=3, low_count=12, high_count=2
case_040	two_group_stagger_no_block	2.315473	0.508895	0.219780	1.965041	2.710099	high_stagger	2.081356	ratio=3, low_count=10, high_count=2
case_048	two_group_stagger_no_block	2.376238	0.323432	0.136111	3.091837	3.851912	high_stagger	3.103364	ratio=6, low_count=8, high_count=2
case_136	two_group_stagger_no_block	2.377669	0.592375	0.249141	1.688121	2.204356	high_stagger	1.745990	ratio=4, low_count=10, high_count=2
case_078	phase_churn	2.527060	0.785528	0.310847	1.273029	1.934056	join_d	1.560841	t1=370, t2=1170
case_139	device_wakeup	2.569266	0.417506	0.162500	2.395176	4.158810	cpu_anchor	2.764505	io_parallel=4
case_076	many_group_microburst	2.573852	0.761540	0.295876	1.313128	1.394387	g1	1.255392	groups=4
case_152	two_group_stagger_no_block	2.634228	0.322946	0.122596	3.096491	3.987339	high_stagger	2.829198	ratio=5, low_count=12, high_count=2
case_102	phase_churn	2.695557	0.469853	0.174306	2.128326	3.556518	join_d	2.515472	t1=700, t2=1340
case_068	many_group_microburst	2.827148	0.412200	0.145801	2.426008	5.882365	g1	3.701950	groups=5
case_032	two_group_stagger_no_block	2.924253	0.400679	0.137019	2.495764	3.296130	high_stagger	2.442748	ratio=5, low_count=12, high_count=2
case_177	inverse_stagger_no_block	2.970348	1.000000	0.336661	1.000000	1.803951	low_wave	1.358857	ratio=5, high_count=3, low_count=15
case_081	inverse_stagger_no_block	2.985915	1.000000	0.334906	1.000000	1.708271	low_wave	1.330166	ratio=5, high_count=3, low_count=15
case_024	two_group_stagger_no_block	3.004321	0.431008	0.143463	2.320142	2.937520	high_stagger	2.390686	ratio=8, low_count=8, high_count=2
case_145	inverse_stagger_no_block	3.060519	1.000000	0.326742	1.000000	1.307369	high_anchor	1.163888	ratio=5, high_count=4, low_count=24
case_128	two_group_stagger_no_block	3.166045	0.438629	0.138542	2.279830	2.860077	high_stagger	2.098147	ratio=6, low_count=12, high_count=2
case_057	inverse_stagger_no_block	3.323964	1.000000	0.300846	1.000000	1.795875	high_anchor	1.352607	ratio=5, high_count=3, low_count=15
case_067	device_wakeup	3.371446	0.625169	0.185430	1.599568	2.973456	cpu_anchor	2.052893	io_parallel=4
case_091	device_wakeup	3.450000	1.000000	0.289855	1.000000	1.049563	io_burst	1.028911	io_parallel=4
case_144	two_group_stagger_no_block	3.476609	0.462531	0.133041	2.162016	2.614807	high_stagger	2.237907	ratio=8, low_count=8, high_count=2
case_187	device_wakeup	3.543189	0.645894	0.182292	1.548242	3.231812	cpu_anchor	2.248996	io_parallel=4
case_185	inverse_stagger_no_block	3.587740	1.000000	0.278727	1.000000	1.519310	high_anchor	1.320775	ratio=5, high_count=5, low_count=40
case_059	device_wakeup	3.635366	0.654137	0.179937	1.528732	1.626938	cpu_anchor	1.352367	io_parallel=4
case_065	inverse_stagger_no_block	3.649692	1.000000	0.273996	1.000000	1.537921	high_anchor	1.346254	ratio=5, high_count=5, low_count=40
case_107	device_wakeup	4.343569	0.886443	0.204082	1.128105	1.246022	cpu_anchor	1.138959	io_parallel=4
case_179	device_wakeup	4.476398	0.805470	0.179937	1.241512	1.706968	cpu_anchor	1.417672	io_parallel=4
case_075	device_wakeup	5.312500	1.000000	0.188235	1.000000	2.024740	cpu_anchor	1.670873	io_parallel=4
case_195	device_wakeup	5.312500	1.000000	0.188235	1.000000	1.805637	cpu_anchor	1.544526	io_parallel=4
case_021	parallelism_mismatch	5.330275	1.000000	0.187608	1.000000	7.997858	scarce_heavy	3.333033	ratio=6, high_count=1, low_count=12
case_035	device_wakeup	5.396914	0.994823	0.184332	1.005204	1.021818	cpu_anchor	1.011562	io_parallel=4
case_115	device_wakeup	5.680000	1.000000	0.176056	1.000000	1.469105	cpu_anchor	1.254902	io_parallel=4
case_131	device_wakeup	7.193327	0.814778	0.113269	1.227328	1.075427	cpu_anchor	1.050629	io_parallel=4
case_155	device_wakeup	7.233333	1.000000	0.138249	1.000000	1.005037	cpu_anchor	1.002916	io_parallel=4
case_085	parallelism_mismatch	7.714286	1.000000	0.129630	1.000000	4.701901	scarce_heavy	2.948400	ratio=6, high_count=2, low_count=32
case_011	device_wakeup	8.660730	0.990606	0.114379	1.009483	1.060792	cpu_anchor	1.038541	io_parallel=4
case_083	device_wakeup	10.872794	0.876838	0.080645	1.140461	1.834715	cpu_anchor	1.545375	io_parallel=4
